Index,Citation
106,"X. Chen, H. Huo, J. S. Vitter, Y. Hu, and Q. Zhu, ""MSQ-Index: A Succinct Index for Fast Graph Similarity Search,"" IEEE Transactions on Knowledge and Data Engineering, vol. 33, no. 6, pp. 2654-2668, Jun. 2021. [Online]. Available: https://ieeexplore.ieee.org/document/8907362"
107,"S. Lu, W. Martens, M. Niewerth, and Y. Tao, ""Partial Order Multiway Search,"" ACM Transactions on Database Systems, vol. 48, no. 4, art. 10, pp. 1–31, December 2023. [Online]. Available: https://dl.acm.org/doi/10.1145/3626956"
108,"R. Binna, E. Zangerle, M. Pichl, G. Specht, and V. Leis, ""Height Optimized Tries,"" ACM Transactions on Database Systems, vol. 47, no. 1, art. 3, pp. 1–46, March 2022. [Online]. Available: https://dl.acm.org/doi/10.1145/3506692"
109,"G. Wu, J. Zhang, J. Fu, and J. Wang, “A case study for Adaptive Radix Tree index,” Information Systems, vol. 106, 101920, 2022. [Online]. Available: https://www.sciencedirect.com/science/article/abs/pii/S0306437921001228"
110,"A.-A. Mamun, H. Wu, Q. He, J. Wang, and W. G. Aref, ""A Survey of Learned Indexes for the Multi-dimensional Space,"" arXiv preprint arXiv:2403.06456, 2024. [Online]. Available: https://arxiv.org/abs/2403.06456"
111,"Z. Chen, W. Hao, Z. Zeng, Y. Wen, L. Shi, Z.-J. Wang, and Y. Zhao, ""LiLIS: Enhancing Big Spatial Data Processing with Lightweight Distributed Learned Index,"" arXiv preprint arXiv:2504.18883v3, 2025. [Online]. Available: https://arxiv.org/abs/2504.18883"
112,"C. L. A. Clarke, ""Annotative Indexing,"" arXiv preprint arXiv:2411.06256v1, 2024. [Online]. Available: https://arxiv.org/abs/2411.06256"
113,"[F. Iglesias, T. Zseby, and A. Zimek, ""Absolute Cluster Validity,"" IEEE Transactions on Pattern Analysis and Machine Intelligence, vol. 42, no. 9, pp. 2096-2112, Sept. 2020. [Online]. Available: https://ieeexplore.ieee.org/document/8695871]"
114,"Y. Wu, X. Zhou, Y. Zhang, L. Ma, and J. Fan, ""Automatic Index Tuning: A Survey,"" IEEE Transactions on Knowledge and Data Engineering, vol. 36, no. 12, pp. 7657-7676, Dec. 2024. [Online]. Available: https://ieeexplore.ieee.org/document/10582533"
115,"[A. Michalopoulos, D. Tsitsigkos, P. Bouros, N. Mamoulis, and M. Terrovitis, ""Efficient Distance Queries on Non-point Data,"" ACM Transactions on Spatial Algorithms and Systems, vol. 11, no. 1, pp. 1:1–1:37, 2025. [Online]. Available: https://dblp.org/rec/journals/tsas/MichalopoulosTBMT25]"
116,"[S. Loodtoy, V. Yalagandula, ""Bibliometric Analysis of International Journal of Information Management"", International Journal of Information Management, 2021. http://repo.lib.jfn.ac.lk/ujrr/bitstream/123456789/4718/2/Bibliometric%20Analysis%20of%20International%20Journal%20of%20Information%20Management.pdf]"
117,"[F. Zhu, Y. Kou, X. Jia, and Y. Zhu, ""An Efficient and Robust Semantic Hashing Framework for Similarity Search,"" ACM Transactions on Information Systems, vol. 41, no. 2, Article 38, pp. 1-30, Feb. 2023. [Online]. Available: https://dl.acm.org/doi/10.1145/3570725]"
118,"[A. Pakzad, V. Mehrjou, D. Khosla, and B. Schölkopf, ""A Word Selection Method for Producing Interpretable Word Embeddings,"" Journal of Artificial Intelligence Research, vol. 71, pp. 867–900, 2021. [Online]. Available: https://jair.org/index.php/jair/article/download/13353/26748/29105]"
119,"[Ali Javed, Usama Iqbal, Farooq Anwar, Arif Mehmood, Hafeez Anwar, Sascha Krannich, and Hongnian Yu, ""An empirical evaluation of similarity measures for time series classification,"" Machine Learning with Applications, vol. 1, Art. no. 100001, 2020. [Online]. Available: https://www.sciencedirect.com/science/article/pii/S2666827020300012]"
120,"[H. Wu, Z. Gui, and Z. Yang, ""Geospatial big data for urban planning and urban management,"" Geo-spatial Information Science, vol. 23, no. 4, pp. 273–274, 2020. [Online]. Available: https://www.tandfonline.com/doi/full/10.10095020.2020.1854981]"
121,"[Zhiyi Tian, Jiaming Xu, and Jen Tang, ""Clustering High-Dimensional Noisy Categorical Data,"" Journal of the American Statistical Association, vol. 119, no. 548, pp. 3008–3019, Oct. 2024. [Online]. Available: https://doi.org/10.1080/01621459.2023.2298028]"
122,"[L. Bai, J. Liang, and Y. Zhao, ""Self-Constrained Spectral Clustering,"" IEEE Transactions on Pattern Analysis and Machine Intelligence, vol. 45, no. 4, pp. 4647-4660, April 2023. [Online]. Available: https://ieeexplore.ieee.org/document/9813560/]"
123,"[A. Policriti, ""Special Issue on Algorithms and Data-Structures for Compressed Computation,"" Algorithms, vol. 15, no. 12, Art. no. 457, 2022. [Online]. Available: https://www.mdpi.com/1999-4893/15/12/457]"
124,"Q. Zhang, X. Wang, K. Wang, H. Wang, R. Shang, and L. Chen, “A prefetching indexing scheme for in-memory database systems,” Information Systems, vol. 120, pp. 102234, 2024. [Online]. Available: https://www.sciencedirect.com/science/article/pii/S0167739X24000840"
125,"R. De Mol, D. Dubois, and H. Prade, “Indexing possibilistic numerical data using Interval B+-trees,” Information Systems, vol. 93, pp. 101544, 2021. [Online]. Available: https://www.sciencedirect.com/science/article/abs/pii/S0165011420301263"
