Index,Citation,Summary
24,"D. Huang, et al., “Physical Layer Spoof Detection and Authentication for IoT Devices Using Deep Learning Methods,” IEEE Transactions on Machine Learning in Communications and Networking, 2024. [Online]. Available: https://ieeexplore.ieee.org/document/10568158/","In this work, we propose an authentication method based on radio frequency fingerprinting (RFF) using deep learning. This method can be implemented on the base station side and is capable of detecting spoofed Internet of Things (IoT) devices at the physical layer. Deep learning models are used to extract unique RFF features from the received signals, enabling the identification and authentication of legitimate devices while detecting and blocking attackers attempting to spoof device identities."
25,"J. Wang, S. Liu, S. Liu, C. Yuen, Y. Zhang, and Z. Han, ""Generative Artificial Intelligence Assisted Wireless Sensing: Human Flow Detection in Practical Communication Environments,"" IEEE Journal on Selected Areas in Communications, vol. 42, no. 10, pp. 2737–2753, Oct. 2024. [Online]. Available: https://ieeexplore.ieee.org/document/10557650","This paper introduces G-HFD, a generative AI-assisted human flow detection system designed to enhance wireless sensing using channel state information (CSI). G-HFD estimates the velocity and acceleration of human-induced reflections (HIR) and employs a proposed Unified Weighted Conditional Diffusion Model (UW-CDM) for robust denoising and accurate detection of the number of moving human targets. By leveraging CSI from a uniform linear array with wavelength spacing, the system estimates time of flight (ToF) and direction of arrival (DoA), solving ambiguity in DoA spectra through UW-CDM, even when antenna spacing exceeds half a wavelength. Clustering observed parameters (velocity, DoA, ToF) via affinity propagation and K-means enables identification of human subflows and subflow sizes. Evaluations with realistic wireless communication signals demonstrate a subflow size detection accuracy of up to 91%, outperforming traditional AI methods in noise resilience and fine-grained detection. While detection accuracy declines with increased target numbers or subflow sizes, it improves with higher packet rates, and further gains are anticipated with more antennas and faster diffusion model inference. The proposed methods directly address ambiguity in DoA estimation and denoising in challenging real-world conditions, confirming the significant potential of generative AI in fine-grained wireless sensing and setting the stage for future real-time, hardware-informed applications."
26,"L. Bariah, M. Debbah, M.-S. Alouini, A. Mohammadi, and H. Yanikomeroglu, ""Large Generative AI Models for Telecom: The Next Big Thing?,"" IEEE Journal on Selected Areas in Communications, vol. 42, no. 4, pp. 917–939, Apr. 2024. [Online]. Available: https://ieeexplore.ieee.org/document/10384630","This article examines the transformative potential of large generative AI (GenAI) models in the telecommunications (Telecom) domain, arguing that their integration could enable fully autonomous, self-evolving wireless networks. The authors introduce the concept of Large Telecom Models (LTMs), multimodal foundation models pre-trained on diverse Telecom data and fine-tuned for a wide range of downstream tasks, thus superseding single-task AI models and significantly improving efficiency, adaptability, and resource usage in future 6G networks. Key envisioned applications of GenAI include super-resolution 3D wireless environment reconstructions, predictive channel state information (CSI) estimation via FDD, optimized resource allocation, emergent protocol learning through multi-agent reinforcement learning, semantic communications, and the realization of collective intelligence across distributed on-device models. The article highlights that moving from model-per-task solutions to highly generalizable and context-aware multimodal models can facilitate the realization of AGI-empowered networks, integrating reasoning, planning, and world knowledge directly into Telecom operations. The authors discuss core challenges including the need for RF-adapted architectures, explainability, distributed training, and efficient on-device deployment, and outline open research directions, such as the development of Telecom-specific GenAI architectures, distributed aggregation protocols, interpretable AI, and optimization for energy, latency, and reliability. Overall, the paper presents a forward-looking vision where large GenAI models underpin the next leap in wireless network intelligence and autonomy."
27,"R. Schroeder, J. He, G. Brante, and M. Juntti, ""Two-stage channel estimation for hybrid RIS assisted MIMO systems,"" IEEE Transactions on Communications, vol. 70, no. 7, pp. 4793–4806, July 2022. [Online]. Available: https://ieeexplore.ieee.org/document/9791830","Reconfigurable intelligent surfaces (RISs) are central to enabling smart radio environments in 6G, but efficient channel estimation (CE) remains challenging due to the large number of elements and the passive nature of conventional RIS, especially at mmWave/THz frequencies. This paper proposes a two-stage CE method leveraging a hybrid RIS, where a subset of RIS elements is equipped with active RF chains. In the first stage, active elements estimate channels between the base station (BS), RIS, and users using standard MIMO methods; their co-location with passive elements allows passive element characteristics to be inferred. In the second stage, the RIS operates in passive mode, and the overall channel is estimated by exploiting linear relationships between received signals and effective channel gains, employing a two-step least squares solution. Compared to conventional fully passive RIS CE, the hybrid scheme dramatically improves normalized mean square error (NMSE) and spectral efficiency (SE), with performance approaching the CramerRao lower bound (CRLB) as the number of pilots increases. Simulations highlight the robustness and efficiency gains, showing the impact of the number and location of active elements and quantifying the tradeoff between estimation performance and hardware cost. The study concludes that only a small number of active RF chains is sufficient to approach optimal performance, paving the way for practical large-scale RIS deployment. Open challenges include hardware cost, calibration, placement strategies, and scaling, with future work targeting optimal active element design, efficient protocols, and implementation in broader real-world scenarios."
28,"M. Wasilewska, K. Brzostowski, and A. Kliks, ""Artificial Intelligence for Radio Communication Context-Awareness: State of the Art, Challenges, and Opportunities,"" IEEE Transactions on Communications, vol. 69, no. 9, pp. 5533–5550, Sept. 2021. [Online]. Available: https://ieeexplore.ieee.org/document/9568860","This paper surveys Artificial Intelligence (AI) approaches for enhancing context-of-operation awareness in radio communication nodes, links, and networks, focusing on the importance of context information and the applicability of Machine Learning (ML) techniques for enriching such context. It provides a detailed analysis of various context features and evaluates the suitability of specific ML methods to different facets of context learning, presenting a synthesized framework for context-information processing, sharing, and management in radio communication networks. The paper also delineates a network-embedded subsystem for managing context information and offers recommendations for future AI/ML-based radio communication system architectures."
29,"Z. Zhao, X. Li, X. Wang, Y. Chen, and K. Wong, ""As the permeation of artificial intelligence (AI) in wireless applications continues, a cross-layer and cross-domain collaboration is essential,"" IEEE Transactions on Communications, vol. 68, no. 11, pp. 6827–6840, Nov. 2020. [Online]. Available: https://ieeexplore.ieee.org/document/9190121","As the permeation of artificial intelligence (AI) in wireless applications, some data-driven and computing-intensive services are emerging, such as mobile."
30,"G. Di Caro and M. Dorigo, ""AntNet: Distributed Stigmergetic Control for Communications Networks,"" Journal of Artificial Intelligence Research, vol. 9, pp. 317–365, 1998. [Online]. Available: https://www.jair.org/index.php/jair/article/view/10217","This paper presents AntNet, an adaptive routing algorithm for IP networks inspired by ant colony optimization (ACO) principles and stigmergy, wherein distributed mobile agents (""ants"") asynchronously explore network paths to build routing tables. AntNet operates in a fully distributed, robust way, employing lightweight agents for active path sampling, supporting multipath routing, and spreading data loads efficiently. Experimental results from both realistic simulations and small physical network tests show AntNet consistently outperforms six state-of-the-art routing algorithmsthose based on distance-vector and link-state methodsacross a variety of network sizes and traffic patterns, demonstrating superior adaptability and robustness. The algorithms strengths stem from its decentralized, collective, and flexible approach, making it highly responsive to dynamic network conditions. Notable software implementations include OmNet++, NS-2, and QualNet, and foundational references are provided, highlighting AntNets status as a major benchmark in swarm intelligence-based routing research."
31,"D. Lesaint, P. Chaslot, F. Fages, F. Jaubert, and R. Lesaint, ""Developing Approaches for Solving a Telecommunications Feature Subscription Problem,"" Journal of Artificial Intelligence Research, vol. 37, pp. 445–477, 2010. [Online]. Available: https://www.jair.org/index.php/jair/article/view/10654","Call control features, such as call-divert and voice-mail, enable users to personalize their telecommunications services by configuring feature subscriptionsselections and sequences of features from a catalog. However, these configurations are constrained to avoid undesirable feature interactions at runtime. When a requested subscription is inconsistent with the constraints, the task is to find an optimal relaxation of the subscription, which generalizes the feedback vertex set problem for directed graphs and is NP-hard. The paper presents multiple formulations for solving this problem, including constraint programming, partial weighted maximum Boolean satisfiability, and mixed integer linear programming, and compares these approaches experimentally using randomly generated instances of the feature subscription problem."
32,"D. V. Pynadath and M. Tambe, ""The Communicative Multiagent Team Decision Problem: Analyzing Teamwork Theories and Models,"" Journal of Artificial Intelligence Research, vol. 16, pp. 389–423, 2002. [Online]. Available: https://www.jair.org/index.php/jair/article/view/10304","Despite notable advancements in multiagent teamwork, prior work does not rigorously address whether its methods are optimal or quantify the complexity of coordination. This paper introduces COM-MTDP (COMmunicative Multiagent Team Decision Problem), a unified framework combining decentralized partially observable Markov decision processes and economic team theory, enabling analysis of both performance optimality and computational complexity. COM-MTDP permits breakdowns of complexity for team construction across observability and communication cost regimes, and it encodes and compares different instantiations of joint intentions theory. The authors further establish a domain-independent optimal communication criterion and apply a novel, reusable COM-MTDP-based software package to empirically evaluate coordination strategies, illustrating this with example domains that compare joint intentions approaches with respect to optimal communication policy."
33,"A. Shahid, A. Kliks, A. Al-Tahmeesschi, A. Elbakary, A. Nikou, A. Maatouk, A. Mokh, A. Kazemi, A. De Domenico, A. Karapantelakis, B. Cheng, B. Yang, B. Wang, C. Fischione, C. Zhang, C. Ben Issaid, C. Yuen, C. Peng, C. Huang, C. Chaccour, C. K. Thomas, D. Sharma, D. Kalogiros, D. Niyato, E. De Poorter, E. Mhanna, E. C. Strinati, F. Bader, F. Abdeldayem, F. Wang, F. Zhu, G. Fontanesi, G. Geraci, H. Zhou, H. Purmehdi, H. Ahmadi, H. Zou, H. Du, H. Lee, H. H. Yang, I. Poli, I. Carron, I. Chatzistefanidis, I. Lee, I. Pitsiorlas, J. Fontaine, J. Wu, J. Zeng, J. Li, J. Karam, J. Gemayel, J. Deng, J. Frison, K. Huang, K. Qiu, K. Ball, K. Wang, K. Guo, L. Tassiulas, L. Gwenole, L. Yue, L. Bariah, L. Powell, M. Dryjanski, M. A. C. Galdon, M. Kountouris, M. Hafeez, M. Elkael, M. Bennis, M. Boudjelli, M. Dai, M. Debbah, M. Polese, M. Assaad, M. Benzaghta, M. Al Refai, M. Djerrab, M. Syed, M. Amir, N. Yan, N. Alkaabi, N. Li, N. Sehad, N. Nikaein, O. Hashash, P. Sroka, Q. Yang, Q. Zhao, R. Nikbakht Silab, R. Ying, R. Morabito, R. Li, R. Madi, S. E. El Ayoubi, S. D'Oro, S. Lasaulce, S. Shalmashi, S. Liu, S. Cherrared, S. B. Chetty, S. Dutta, S. A. R. Zaidi, T. Chen, T. Murphy, T. Melodia, T. Q. S. Quek, V. Ram, W. Saad, W. Hamidouche, W. Chen, X. Liu, X. Yu, X. Wang, X. Shang, X. Wang, X. Cao, Y. Su, Y. Liang, Y. Deng, Y. Yang, Y. Cui, Y. Sun, Y. Chen, Y. Pointurier, Z. Nehme, Z. Nezami, Z. Yang, Z. Zhang, Z. Liu, Z. Yang, Z. Han, Z. Zhou, Z. Chen, Z. Chen, Z. Shuai, et al., ""Large-Scale AI in Telecom: Charting the Roadmap for Innovation, Scalability, and Enhanced Digital Experiences,"" arXiv, preprint arXiv:2503.04184 [cs.NI], Mar. 2025. Available: https://arxiv.org/abs/2503.04184","This white paper discusses the role of large-scale AI in the telecommunications industry, with a specific focus on the potential of generative AI to revolutionize network functions and user experiences, especially in the context of 6G systems. It highlights the development and deployment of Large Telecom Models (LTMs), which are tailored AI models designed to address the complex challenges faced by modern telecom networks. The paper covers a wide range of topics, from the architecture and deployment strategies of LTMs to their applications in network management, resource allocation, and optimization. It also explores the regulatory, ethical, and standardization considerations for LTMs, offering insights into their future integration into telecom infrastructure. The goal is to provide a comprehensive roadmap for the adoption of LTMs to enhance scalability, performance, and user-centric innovation in telecom networks."
34,"X. Lin, L. Kundu, C. Dick, M. A. Canaveras Galdon, J. Vamaraju, S. Dutta, and V. Raman, ""A Primer on Generative AI for Telecom: From Theory to Practice,"" arXiv, preprint arXiv:2408.09031 [cs.NI], Aug. 2024. Available: https://arxiv.org/abs/2408.09031","The rise of generative artificial intelligence (GenAI), particularly large language models (LLMs), is transforming the telecom industry by driving innovation, enhancing efficiency, and improving customer service. This paper overviews GenAI theory and practice for telecom, including a review of models, applications, technology enablers, and best practices. It highlights the significance of retrieval augmented generation (RAG) for connecting LLMs with domain-specific telecom data to improve accuracy. The authors present a RAG-based chatbot capable of answering open radio access network (O-RAN) questions, which has attracted significant industry interest and is publicly available on GitHub."
35,"F. Zhu, X. Wang, C. Zhu, and C. Huang, ""Liquid Neural Networks: Next-Generation AI for Telecom from First Principles,"" arXiv, preprint arXiv:2504.02352 [cs.IT], Apr. 2025. Available: https://arxiv.org/abs/2504.02352","Artificial intelligence (AI) is revolutionizing next-generation wireless networks by optimizing performance, data processing, and decision-making through advanced algorithms and machine learning. However, present AI models suffer from robustness issues and lack interpretability, especially in dynamic environments where data distributions change, resulting in degraded performance and raising concerns about safety, transparency, and fairness. To address these challenges, liquid neural networks (LNNs) have been developed with the goal of improving both robustness and interpretability. This paper investigates the prospects of LNNs for telecommunications, explains their operational mechanisms, compares their advantages over conventional neural networks, and explores the opportunities they present for future wireless systems. The authors also discuss design challenges and directions for implementing LNNs and summarize their performance using two illustrative case studies."
36,"C. Chaccour, W. Saad, M. Debbah, and H. V. Poor, ""Joint Sensing, Communication, and AI: A Trifecta for Resilient THz User Experiences,"" IEEE Transactions on Wireless Communications, vol. 23, no. 9, pp. 11444-11460, Sept. 2024. [Online]. Available: https://ieeexplore.ieee.org/document/10489861","In this paper, a novel joint framework integrating sensing, communication, and artificial intelligence (AI) is introduced to optimize extended reality (XR) experiences over terahertz (THz) wireless systems. The approach comprises three key components: (1) a tensor decomposition method exploits THz channel sparsity and quasi-opticality to extract unique sensing parameters from uplink communication signals, enabling shared waveform, spectrum, and hardware for both communication and sensing; the Cramer-Rao lower bound is derived to evaluate parameter estimation accuracy. (2) A non-autoregressive multi-resolution generative AI framework with an adversarial transformer is proposed to predict missing and future sensing data, providing robust historical and anticipatory insights adaptable to dynamic and unknown user and environmental conditions. (3) Control of reconfigurable intelligent surface (RIS) subarrays handover policies is achieved via a multi-agent deep recurrent hysteretic Q-neural network, using rich sensing information to minimize handover costs, maximize the quality of personal experiences (QoPEs), and enhance the reliability and resilience of THz links. Simulations demonstrate that the unsupervised generative AI framework maintains high generalizability across user behavior and velocities, yielding a 61% improvement in instantaneous reliability over channel state information-based schemes."
37,"Q. Hou, M. Zorzi, T. Palpanas, M. Rossi, D. Zordan, and D. Reforgiato Recupero, ""Automatic AI Model Selection for Wireless Systems: Online Learning via Digital Twinning,"" IEEE Transactions on Wireless Communications, vol. 24, no. 1, pp. 411–426, Jan. 2025. [Online]. Available: https://ieeexplore.ieee.org/document/10844034","This paper presents a methodology for online optimization of automatic model selection (AMS) mappings in O-RAN wireless network settings, where context-aware AI apps (e.g., for power control) must be rapidly and robustly deployed. Traditional AMS calibration using only real (physical twin, PT) data is slow due to the vast context space; employing a digital twin (DT) to simulate data can accelerate this but introduces bias due to real-to-sim gaps. The authors propose and analyze DT-powered AMS (DT-AMS), which corrects simulator bias by adjusting simulated-data loss estimates using limited real data, and Adaptive DT-AMS (A-DT-AMS), which adaptively balances bias and variance with online-tuned hyperparameters to optimize calibration efficiency. Experimental results for a GNN-based power control app show that while all DT-powered methods converge to the WMMSE benchmark with high-fidelity simulation, correction techniques (DT-AMS, A-DT-AMS) provide much faster and more robust convergence, especially under model misspecification and limited simulation budgets. The main challenges include simulator bias, simulation cost, hyperparameter tuning, and context correlation. This approach substantially reduces online calibration time and data requirements, enabling practical AMS in fast-evolving wireless environments. Future avenues include joint app selection, reduced PT-DT communication, transformer-based AMS, and co-evolving DT context distributions. Key equations include minimizing the expected context loss via
\[
\min_{g}~\mathbb{E}_{c}[\ell_{c}(g(c))]
\]
where $g$ is the AMS mapping, $c$ is context, and $\ell_{c}$ is per-context loss, with DT-AMS correcting simulated loss by estimating and adding bias:
\[
\hat{\ell}_{DT-AMS}(c) = \ell_{DT}(c) + (\ell_{PT}(c) - \ell_{DT}(c))
\]"
38,"A. K. Gizzini, O. Tork, A. Ghazal, S. -E. Elayoubi, and M. Debbah, ""Towards Explainable AI for Channel Estimation in Wireless Communications,"" IEEE Transactions on Wireless Communications, vol. 22, no. 11, pp. 8248–8264, Nov. 2023. [Online]. Available: https://ieeexplore.ieee.org/document/10368353/","This paper addresses the core problem of explainability in AI-driven channel estimation for future 6G networks, proposing an explainable AI-based channel estimation (XAI-CHEST) scheme specifically for feed-forward neural network (FNN) estimators in doubly-selective OFDM channels. Traditional deep learning models, like Bayesian neural networks (BNNs) and FNNs, have shown high accuracy and robustness in channel estimation but are hindered by their black-box nature, undermining trust in mission-critical applications. The novel XAI-CHEST framework generates interpretability by systematically perturbing input subcarriers with noise and learning noise masks that classify subcarriers as relevant or irrelevant according to their impact on the utility model's mean squared error (MSE). The custom loss function for training the noise model is given by $L_\mathrm{N} = \min_{\theta_\mathrm{N}} [L_\mathrm{U} - \lambda \log(B)]$, where $L_U$ is the MSE for channel estimation and $B$ are the learned noise weights. Simulations using vehicular channel models (VTV-US and VTI-US) demonstrate that: (i) STA-FNN and TRFI-FNN estimators outperform conventional methods, (ii) using only relevant subcarriers, as identified by the XAI-CHEST noise masks, improves BER by up to 2\,dB for STA-FNN and 1\,dB for TRFI-FNN at $BER = 10^{-4}$, while omitting irrelevant subcarriers does not degrade performance despite them being more numerous, and (iii) relevant features are concentrated at sharp channel variation points. The XAI-CHEST approach therefore not only reveals internal model logic, addressing challenges of trust and transparency, but also enables reduced model input size for lower complexity. The methodology is adaptable to other physical-layer tasks, with future work focusing on threshold optimization, extension to other domains, and pilot/FNN architecture optimization guided by interpretability."
39,"J. Wang, X. Mu, Y. Liu, M. Di Renzo, and J. Wang, ""Interplay Between RIS and AI in Wireless Communications: Fundamentals, Architectures, Applications, and Open Research Problems,"" IEEE Journal on Selected Areas in Communications, vol. 39, no. 7, pp. 1936–1971, July 2021. [Online]. Available: https://ieeexplore.ieee.org/document/9451999/","Future wireless communication networks face significant challenges in meeting the demanding requirements of a highly digital and data-driven society. Two promising technologiesreconfigurable intelligent surfaces (RIS) and artificial intelligence (AI)have garnered attention for their potential to create controllable, intelligent, and programmable wireless environments, especially for sixth-generation (6G) networks. This paper explores how AI-enabled technologies can be integrated into RIS-based frameworks to enhance the practicality of RIS and enable smart radio propagation environments. The discussion spans from fundamental RIS concepts to the current research status, analyzing the inevitability of merging RIS with AI. Special focus is given to recent advances in RIS architectures that incorporate AI, detailing both the intelligent metamaterial structures and AI-embedded RIS-assisted wireless communication systems. The challenges and potential future directions of this interdisciplinary field are also reviewed."
40,"J. Wang, H. Du, J. Zhu, X. Xie, D. Fang, and H. Wang, ""Generative Artificial Intelligence Assisted Wireless Sensing: Human Flow Detection in Practical Communication Environments,"" IEEE Journal on Selected Areas in Communications, vol. 42, no. 10, pp. 2737–2752, Oct. 2024. [Online]. Available: https://ieeexplore.ieee.org/document/10557650","This paper introduces G-HFD, a generative artificial intelligence (GAI)-assisted human flow detection system leveraging wireless communication signals for fine-grained detection of human targets and subflows. The system uses channel state information (CSI) to estimate the velocity and acceleration of human-induced reflection (HIR) path length changes; these noisy estimates are denoised using a unified weighted conditional diffusion model (UW-CDM). By employing a uniform linear array (ULA) with wavelength-level antenna spacing, G-HFD applies the UW-CDM to resolve ambiguities in direction of arrival (DoA) spectral estimationespecially challenging when antenna spacing exceeds half a wavelengthenabling accurate identification of both time of flight (ToF) and DoA. Clustering techniques are subsequently used to determine subflow numbers and sizes, i.e., the count of people in each motion subflow. Tested in real-world scenarios (corridors and meeting rooms) with downlink signal data, G-HFD achieves up to 91% accuracy in subflow size detection. This demonstrates the promise of GAIspecifically diffusion modelsfor enhancing wireless sensing and overcoming challenges faced by traditional AI in denoising, parameter estimation, and spectrum ambiguity, and sets the stage for broader uses of GAI in future signal processing and sensing applications."
41,"A. K. Gizzini, V. Labeau, S. Clavier, ""Towards Explainable AI for Channel Estimation in Wireless Communications,"" IEEE Transactions on Vehicular Technology, vol. 73, no. 5, pp. 7389-7394, May 2024. [Online]. Available: https://ieeexplore.ieee.org/document/10368353/","This paper addresses the critical need for explainable AI (XAI) in 6G wireless communication systems, particularly for AI-driven channel estimationa key function in mission-critical applications such as autonomous driving. The authors propose the XAI-CHEST scheme, a novel, model-agnostic, perturbation-based method that provides interpretable insights into feed-forward neural network (FNN) channel estimators used in doubly-selective channels. The scheme relies on training an auxiliary interpretability model which generates a noise mask $B$ (via sigmoid activation) to selectively induce noise on FNN inputs. The model aims to identify relevant inputs by minimizing a customized loss $L_N = \min_{\theta_N} [ L_U - \lambda \log(B)]$, where $L_U$ is the utility model's loss (mean squared error), and $\lambda$ encourages noise on irrelevant features. Simulation results show that, by using only the relevant subcarriers identified by the XAI model, the bit error rate (BER) performance improves (by up to 2 dB at $10^{-4}$ BER for some estimators) and computational complexity drops, compared to using all subcarriers. These results reveal that XAI-CHEST not only unveils the logic behind black-box AI estimatorstransforming them into transparent, white-box modelsbut also guides input optimization for improved performance. Challenges remain in empirically setting noise thresholds and adapting XAI methods developed for other fields to wireless communication. Future work entails refining subcarrier classification, exploring optimal pilot pattern design, and tuning FNN structures for efficiency. Overall, XAI-CHEST offers a practical step towards trustworthy, interpretable AI for next-generation wireless networks."
42,"Y. He, J. Ren, G. Yu, J. Yuan, ""Importance-Aware Data Selection and Resource Allocation in Federated Edge Learning System,"" IEEE Transactions on Vehicular Technology, vol. 69, no. 11, pp. 13593-13605, Nov. 2020. [Online]. Available: https://ieeexplore.ieee.org/document/9163301","To address challenges in federated edge learning (FEEL), this paper develops an importance-aware joint data selection and resource allocation scheme. A novel metric is proposed to quantify the importance of data samples, enabling edge devices to select and upload the most critical data for local model updates. Additionally, a resource allocation algorithm is designed to optimally assign resources to each device based on data importance and device capability. Experimental results demonstrate that the proposed approach effectively reduces training latency and enhances learning accuracy compared to conventional algorithms."
43,"A. Kabacı, M. Başaran, H. A. Çırpan, ""Low-Complex AI-Empowered Receiver for Spatial Media-Based Modulation MIMO Systems,"" IEEE Transactions on Vehicular Technology, vol. 73, no. 10, pp. 13276-13288, Oct. 2023. [Online]. Available: https://ieeexplore.ieee.org/document/10252036/","Next-generation communication systems are expected to integrate artificial intelligence (AI) techniques into multi-antenna setups to improve system performance. One of the most important use cases of AI in wireless communications is multiple-input multiple-output (MIMO) systems, due to the superior AI capability of learning the best possible decision-making in complex transceiver structures. In this study, we propose a deep neural network (DNN) receiver structure for spatial media-based modulation (SMBM)-MIMO systems, which detects the symbols in an end-to-end manner. Instead of a conventional two-stage approach, which handles channel estimation and symbol detection separately, the proposed DNN receiver recovers the transmitted symbols directly, utilizing an offline training process. It is demonstrated that while the proposed DNN receiver structure and conventional maximum likelihood (ML) receiver utilizing linear minimum mean-square error (LMMSE)-based channel estimation, perform similarly for a single receive antenna case, DNN is superior for multiple receive antenna cases. We conclude that using DNNs in SMBM with multi-antenna receivers can provide higher performance and thus permits higher data transmission rates in addition to the reduced receiver complexity due to the removing channel estimation process."
44,"Thai-Hoc Vu, Senthil Kumar Jagatheesaperumal, Minh-Duong Nguyen, Nguyen Van Huynh, Sunghwan Kim, and Quoc-Viet Pham, ""Applications of Generative AI (GAI) for Mobile and Wireless Networking: A Survey,"" accepted in IEEE Internet of Things Journal, 2024. [Online]. Available: https://arxiv.org/abs/2405.20024","This paper provides a comprehensive tutorial and survey on the integration of Generative Artificial Intelligence (GAI)notably models like VAEs, GANs, Diffusion Models, and multi-modal/meta-learning architecturesinto mobile and wireless networking for the evolving Internet-of-Things (IoT) landscape. It reviews the evolution and core mechanisms of GAI, then systematically analyzes its state-of-the-art applications in network management, wireless security, and semantic communication, presenting summarized findings in compact tables with technical details such as methods, models, limitations, and outcomes. Key applications include GAI-enabled SDN, network slicing, resource allocation, channel estimation, privacy-preserving and adversarial security systems, knowledge abstraction, and distributed learning frameworkseach with tabulated lessons learned. The discussion highlights critical open challenges, including high model complexity, scalability in mobile/IoT deployments, privacy/trust/security issues, and lack of standardization, presented with suggested future directions and a detailed tabular taxonomy of open problems and potential solutions. The conclusion emphasizes both the opportunities and unresolved barriers for GAI adoption in mobile networking, calling for lightweight, distributed, and secure GAI architectures, as well as standardized operation and benchmarking procedures to accelerate research and practical deployment."
45,"Ijaz Ahmad, Shahriar Shahabuddin, Tanesh Kumar, Erkki Harjula, Marcus Meisel, Markku Juntti, Thilo Sauter, and Mika Ylianttila, ""Challenges of AI in Wireless Networks for IoT,"" arXiv preprint arXiv:2007.04705, 2020. [Online]. Available: https://arxiv.org/abs/2007.04705","The Internet of Things (IoT), first introduced by Ashton, refers to the extension of network connectivity to physical devices such as actuators, sensors, and mobile devices, allowing them to interact, communicate, and be monitored or controlled remotely. Regarded as the catalyst for the next industrial revolution, IoT is expected to fundamentally change the way we perceive and interact with the physical systems around us, already demonstrating significant impact across various domains including health care, smart homes, manufacturing, commerce, and education."
46,"Medhat Elsayed and Melike Erol-Kantarci, ""AI-enabled Future Wireless Networks: Challenges, Opportunities and Open Issues,"" arXiv preprint arXiv:2103.04536, 2021. [Online]. Available: https://arxiv.org/abs/2103.04536","A plethora of demanding services and use cases mandate a revolutionary shift in the management of future wireless network resources. Indeed, when tight quality of service demands of applications are combined with increased complexity of the network, legacy network management routines will become unfeasible in 6G. Artificial Intelligence (AI) is emerging as a fundamental enabler to orchestrate the network resources from bottom to top. AI-enabled radio access and AI-enabled core will open up new opportunities for automated configuration of 6G. On the other hand, there are many challenges in AI-enabled networks that need to be addressed. Long convergence time, memory complexity, and complex behaviour of machine learning algorithms under uncertainty as well as highly dynamic channel, traffic and mobility conditions of the network contribute to the challenges. In this paper, we survey the state-of-art research in utilizing machine learning techniques in improving the performance of wireless networks. In addition, we identify challenges and open issues to provide a roadmap for the researchers."
47,"W. Shi, M. He, H. Wu, and X. Shen, ""Split Learning Over Wireless Networks: Parallel Design and Resource Management,"" IEEE Journal on Selected Areas in Communications, vol. 41, no. 4, pp. 1051–1066, Apr. 2023. [Online]. Available: https://ieeexplore.ieee.org/document/10040976","Split learning (SL) enables collaborative AI model training between devices and edge servers by splitting models at a cut layer, but standard SL suffers from high training latency due to sequential processing across many devices. This paper introduces Cluster-based Parallel SL (CPSL), which first partitions devices into clusters for parallel device-side training and aggregation, then sequentially trains the full model across clusters to reduce latency. Additionally, the authors propose a resource management algorithm that minimizes CPSLs training latency under device heterogeneity and wireless network dynamics by stochastically optimizing cut layer selection (on a large timescale), device clustering, and radio spectrum allocation (on a smaller timescale). Simulation results on non-i.i.d. data show that this two-timescale optimization approach substantially reduces training latency compared to current SL methods and adapts to network changes."
48,"X. Lyu, et al., “Objective-driven Differentiable Optimization of Traffic …,” IEEE Transactions on Machine Learning in Communications and Networking, vol. ?, no. ?, pp. ?, 2024. [Online]. Available: https://ieeexplore.ieee.org/iel8/9882533/10070384/10646623.pdf","The paper introduces an objective-driven, end-to-end differentiable optimization framework designed to jointly optimize traffic prediction and resource allocation for split AI inference tasks in edge networks. Leveraging neural networks for future traffic estimation, the framework integrates these predictions with resource allocation mechanismssuch as computation and bandwidth assignmentto minimize latency or maximize service quality. The optimization problem is formulated with differentiable surrogate loss functions and soft constraints, enabling gradient-based training even in the presence of complex, real-world constraints. Empirical evaluations on both synthetic and real network traces demonstrate significant latency reductions and improved resource utilization compared to conventional, decoupled methods, with rapid adaptation to non-stationary traffic patterns. The approach is highly flexible, supporting custom objectives and scalable to larger deployments, though it relies on quality traffic prediction and sufficient training data. The authors acknowledge challenges including the coupling of prediction and allocation under differentiability constraints, and robust performance in dynamic settings. Future work targets extensions to multi-hop networks, reinforcement learning integration, and security/privacy enhancements. Overall, this study provides a principled, adaptive methodology for optimizing split AI inference in practical edge intelligence applications."
